Process ID,D2C_R,TD2C_R,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_4,TD2C_Ranking_5,TD2C_Ranking_6,TD2C_Ranking_7,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.2160952064660336,0.5408653164271011,0.482643901349417,0.47367660175141424,0.061804910560715506,0.09605761562998405,0.5558207163127404,0.06844526351290384,0.3026263885099361,0.0023809523809523807,0.3083738377374785,0.08441890109299922
2,0.2596097048009149,0.23035169085573554,0.43962603204739736,0.47404675696121157,0.36112735563098886,0.4830961572300934,0.3120746086969348,0.360734384682622,0.33709274931870387,0.2873937474602941,0.42743404523541184,0.38344859072198817
3,0.24794367992165472,0.0,0.07592605902009927,0.18558197691391928,0.11268018930860497,0.028601370035193564,0.17609927014364019,0.678930792329746,0.04555964052287582,0.5794164372582589,0.04812902353924026,0.18457654079591757
4,0.6108251250314383,0.6303103096316897,0.37503889175894956,0.2128836313557946,0.5014643420824653,0.22688649257183044,0.7129461752831118,0.45802802039764484,0.4842739606193301,0.037164077023916844,0.25884992375211174,0.4983626986736759
6,0.1930809701489638,0.3499304276006221,0.39738949699450776,0.4178020666871454,0.309508801676405,0.3645712613802195,0.48388197639271135,0.19380148005551828,0.35596087144298544,0.19089341557994807,0.4351767627927777,0.2599394087968089
7,0.4796372519160288,0.2954072073568136,0.4626699264881518,0.5551410078145389,0.39506169963645676,0.4330529564583981,0.4899284928666578,0.482162225110336,0.48582440990302195,0.4586130795699366,0.5170749747371415,0.5708935163883277
8,0.48052417568766864,0.4975736644094404,0.6042529911671604,0.6705755138169657,0.5866974570056376,0.5900408821269875,0.5540447468395224,0.5696434321550513,0.4905195047551093,0.427806065144883,0.6000247819610608,0.4809147926143032
9,0.9639469902750205,0.9503977306247483,0.9598264811569642,0.9635898974433335,0.9522306950154924,0.9453856280602564,0.9644919112557527,0.9573822931199686,0.961550997976097,0.9552876859144387,0.9618527942900885,0.9732548050342045
10,0.0272011322011322,0.1405400849150849,0.22543498168498166,0.21427404295051353,0.16009965524671407,0.20363553113553112,0.26349913803087177,0.2891657800964235,0.2619944492641861,0.14923763285218394,0.23613934676434675,0.19564291337317655
11,0.6505308176156239,0.8196025807268068,0.8177106731063016,0.797828639798454,0.8383430177530998,0.808224352019109,0.8368574352671304,0.7626960477602893,0.8050678340164644,0.6856019338418718,0.8362332149312227,0.6838797951380566
12,0.9600894272595626,0.9526404193782447,0.9615513423623057,0.962591726367763,0.949135740636242,0.9508600486441937,0.9658189444248911,0.9545826693862514,0.9640198036801969,0.9585119538041929,0.9652599708781129,0.9737922086594984
13,0.6113709500270667,0.6127126287290363,0.725981995257825,0.7630958739723821,0.6365981581826033,0.6567984819632995,0.8162587159613486,0.8141118026908687,0.746513158903828,0.6298072737435528,0.6533653206401505,0.6364591265397991
14,0.7625964849358475,0.8077149312675628,0.8641129875456501,0.8488835631173093,0.8645448516481797,0.833055379218305,0.8623573334989743,0.7996579779196888,0.8613933561428178,0.7220677333865643,0.8283249239150943,0.7157281447706808
15,0.9747810385349085,0.9970588235294118,0.9878921568627451,0.9986842105263157,0.9953921568627451,0.9928858911985847,0.993921568627451,0.9499201866674778,0.9940763673890609,0.9727542933502686,0.9909391124871002,0.9873426212590299
16,0.06251554001554002,0.7650396662161368,0.7425947884674665,0.7411568333627157,0.75411481256102,0.7598746066025478,0.7462384184443007,0.5513477882340111,0.8072486204026452,0.46410027048904584,0.7455315395388925,0.31270805175216937
18,0.9631319018528771,0.9953921568627451,0.989982174688057,0.9919572120346114,0.9905882352941177,0.993921568627451,0.9926143790849673,0.9320805950585364,0.9914946680426556,0.9613342988710636,0.9865273477812178,0.9896319229446165
19,0.38909912531641566,0.5991986688839714,0.4981868802333224,0.5467376723747155,0.4628370983230199,0.5258560387512892,0.48860899892494825,0.3786807529871849,0.5767942963970805,0.3305887995946585,0.496797935980721,0.6140718876525146
20,0.6866533634494161,0.6396641692874362,0.729884504437422,0.7470382452514805,0.7003088048656598,0.6964003437932971,0.7469258374357479,0.5375543667998743,0.7206243987817719,0.5105028836978043,0.6923724730074172,0.6946129563094962
