method,ROC-AUC,Precision,Recall,F1
TD2C_Ranking_1_2_Var,0.8835258232013196,0.7112790267545493,0.6417305996472663,0.6425303040278103
TD2C_Ranking_4,0.880353620559643,0.7388424585260829,0.6547054122574956,0.6645771481939834
TD2C_Ranking_NoCont,0.8741866334838654,0.6821898114164626,0.6095687279541446,0.6104670738871992
TD2C_Ranking_1_1_Var,0.873576561801566,0.6988120651252605,0.6279968584656085,0.630039236923818
TD2C_R,0.8718456306219083,0.6771543303506583,0.5953221450617283,0.6013555820390326
TD2C_Ranking_6,0.8671725126994201,0.6914574871229241,0.6209898589065256,0.6218130820038203
