Process ID,D2C_R,TD2C_Ranking,TD2C_Ranking_1_10_Var,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_1_3_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.7315852869382402,0.8229841250644995,0.5048810059385597,0.7511048876787557,0.77686734874871,0.7429470213524005,0.7869038003633471,0.7119137847299007,0.7673332392715858,0.7342126260043491
2,0.6958977656303749,0.8285724843665536,0.6393050353365031,0.7922166111510394,0.8029915330989852,0.8080417419160646,0.7966704204982431,0.8148174031125608,0.7837555793973291,0.7796726660784927
3,0.6451674193526095,0.7483928014736596,0.6452973685362303,0.81931865605343,0.8063447624115435,0.8440769077642022,0.7865528509923706,0.8335074867392132,0.7773338879137182,0.8495392702036956
4,0.7947169154119982,0.8710801400329868,0.8619931544163718,0.6706704734799621,0.5145560809576024,0.5578427980567227,0.8781947989996437,0.7421127107367069,0.5411701753618113,0.8746775233119564
6,0.6391575791500811,0.8010653164774683,0.5692647961048454,0.7969349019761414,0.7837284214672711,0.7170664674861172,0.7526423576557816,0.7547517499324291,0.8003637118224483,0.6491389318885449
7,0.7172784327546808,0.684660280641862,0.6346325468235541,0.7830129858961128,0.8195970068400167,0.7780575298924395,0.7581283555088703,0.7768369923353113,0.7891182027909849,0.7932128210385031
8,0.6810918130958524,0.7903678514991522,0.6231811673408398,0.8435085012623471,0.8760920760848199,0.843181339147501,0.7803578819137303,0.7531173214899995,0.7722241706441348,0.7830133458262691
9,0.7840914410720429,0.7887298631075237,0.6762173183418104,0.8900827825922036,0.921609176126591,0.9397755508179149,0.8972225159252296,0.8790608489283871,0.9501011536193424,0.860552756930623
