Process ID,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_1_3_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_NoCont
1,0.23962297288020803,0.25740464112750433,0.16616731560524,0.09225198833860834,0.041123515212894673,0.3847978255190528
2,0.4556118219172617,0.40935264735595095,0.4536940279211771,0.38832889993258957,0.3878566801366158,0.4718804741358712
3,0.06351387046046489,0.09627472480220159,0.08983045849918915,0.011798245614035087,0.0,0.0
4,0.050633082284297116,0.008832565284178187,0.01113095238095238,0.3113800935047065,0.006666666666666666,0.005555555555555555
6,0.5712175908802615,0.48965387714677194,0.42488379553649863,0.37881065203146597,0.3670135083877849,0.5797470268022331
7,0.4705364383307127,0.5715691828330688,0.5185367239652485,0.4112449785312056,0.40409169228684566,0.4633948468442619
8,0.5980873078042543,0.6708215905000541,0.6432792336070737,0.49935492478194493,0.4091885068110675,0.4784085509110187
9,0.2954903242276038,0.42483957087143925,0.6676848395264268,0.4061259986231046,0.33795879943406526,0.6460565535121633
