Process ID,D2C_R,TD2C_R,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_4,TD2C_Ranking_5,TD2C_Ranking_6,TD2C_Ranking_7,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.035469051557761234,0.4086155213213359,0.3576764378195614,0.3617884361642127,0.010658008658008658,0.026991868165499228,0.40791595735245184,0.06243151504843453,0.2339036625813864,0.0017241379310344827,0.28236743040323153,0.01161290322580645
2,0.17999547997842055,0.15962267028999486,0.19528270879100623,0.15486065645139555,0.10393518816560188,0.12633125500010528,0.13492575416776936,0.305784563434202,0.14317062555702037,0.09123335394266266,0.1774960053666227,0.23584034814825183
3,0.0401100372210212,0.0,0.013365800865800867,0.08677675299528846,0.006439393939393939,0.0023809523809523807,0.012583333333333335,0.27884233428483984,0.025318102949681898,0.16432243554348913,0.0023809523809523807,0.03574747392195905
4,0.46953937311605803,0.48468383718669206,0.5670620447487376,0.4373053765022651,0.551552177277656,0.28692423090069175,0.5945179097959418,0.6333247889941934,0.5229299341526212,0.3598546186854787,0.5570562176996141,0.5111276905094377
6,0.13031905106810734,0.24573917938113995,0.24882847840981276,0.26049076700615403,0.23076286219949566,0.23078355381400878,0.2816992904639279,0.15088046422475684,0.21981678134138088,0.12922478332055665,0.27311067222798857,0.2177880589670813
7,0.3977518027775761,0.184603888278826,0.3478429107132551,0.3893850299845144,0.25087817699584575,0.26917689992703353,0.37509012788761503,0.311635078489303,0.39037304095193726,0.29401728702460106,0.3719325703594941,0.4914530186362705
8,0.35410459463563493,0.3677731259983422,0.4405440817907228,0.4399590776039958,0.4006162568609525,0.38297661047181336,0.3759834950389246,0.3935103724974399,0.3095105727293104,0.33985083153156836,0.45967016225071095,0.3790502441870087
9,0.8014365124916571,0.7166837266551964,0.8180297248182935,0.8281948931435295,0.772011104042551,0.7406296764256337,0.8166115428841204,0.7764470864443009,0.8140673566181752,0.7667114711572854,0.8104826278291861,0.832802096291142
10,0.058365800865800864,0.13747871989551558,0.12950129763597257,0.1635180108905514,0.12089294763207807,0.16552291261656588,0.19164372964945048,0.15722940791615916,0.1760088723049906,0.11007187591262002,0.1661286529680893,0.10400794319243686
11,0.4876883848723927,0.5659504033082733,0.5313367168786012,0.5179881655967352,0.5412779911673572,0.5502448633758653,0.5489045262158299,0.4118737727236028,0.4881077419551548,0.4266165363396984,0.5775687481687053,0.4044019244926081
12,0.7972030138623462,0.7331314497028971,0.8119689323199811,0.8321252920812462,0.7767386851708927,0.7440511584451114,0.8154684905976511,0.7733677042390732,0.8163263180408762,0.7708397851822071,0.8052488932106462,0.8292313337454822
13,0.5393528003603564,0.6009311349480451,0.6100390812330507,0.6353291609782498,0.5973769370742208,0.620286919616005,0.7220465586360764,0.6041996429453668,0.6112091645649187,0.5660528560626068,0.614313713023608,0.5556071511287138
14,0.5541459648072984,0.5513224682075974,0.5553430675184072,0.5231619275031278,0.5647308628744666,0.5369339000854284,0.5799382847260166,0.44061844138691136,0.5734667900671212,0.48226084652991,0.5467537244017313,0.4136084821777396
15,0.9311347297783057,0.9733376025848937,0.9729911387631975,0.9850858670053716,0.975914142616929,0.9415864320409852,0.9688084913452559,0.6971622194777074,0.9879049244529121,0.7233936799186664,0.9699637479823238,0.9244663366725556
16,0.03509395424836602,0.5513057745488086,0.5143775251056009,0.5156560195181645,0.5612070278743012,0.5438728838241222,0.4681211467156981,0.3174608054673294,0.532960307610961,0.24216759719611786,0.4840494708138065,0.13683814111248827
18,0.9248336387704068,0.9761239802938719,0.9707757137942897,0.9790288031541902,0.9831605975723623,0.9436253536195487,0.9616269250615226,0.7052653466434176,0.9953921568627451,0.7330113210282482,0.9714257362864174,0.9223829578144593
19,0.51205591062198,0.5422942679379479,0.5196993624406246,0.5972475917153611,0.46062013360249204,0.5399796516037269,0.6612941541978121,0.41153903748365456,0.7153332398847992,0.320889026218537,0.5826353526383203,0.7937958440968211
20,0.5098388819354087,0.25976671189084033,0.46869830779590627,0.46026560868903654,0.40669073864452027,0.37598269411709256,0.514659042051339,0.2772942345279203,0.4395193701474801,0.33120501436063343,0.44078666396773974,0.4158238100043767
