Process ID,D2C_R,TD2C_R,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_4,TD2C_Ranking_5,TD2C_Ranking_6,TD2C_Ranking_7,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.6662099562101609,0.7536460633406953,0.6460721881343486,0.6641761916966097,0.5382167549779313,0.5224686153084522,0.657247473886148,0.8474577582104624,0.5503017967525793,0.4769615183680386,0.6389981783655202,0.6444939817092471
2,0.6416470376987149,0.6293417460740741,0.6938396819899472,0.6811906785234131,0.6793534845268381,0.6883369044886606,0.6849337589211113,0.7120650474554017,0.6990739433800639,0.602773135219274,0.6936665085798036,0.7192318794186486
3,0.46352621262019855,0.5752136877653506,0.7531107346179631,0.7492963400714808,0.5702425357216316,0.6806439511934524,0.7567477608450175,0.8399522073335801,0.7740042820148968,0.7871103399119175,0.6606511199804597,0.6768918947939974
4,0.7863056521010633,0.9171225910146334,0.9169068453752065,0.9143068799386078,0.9090625867215355,0.8649574601410105,0.9524333159823268,0.9397136314574294,0.910609873445881,0.8926807710775414,0.9141517206011658,0.8781797629309318
6,0.5587600378103211,0.7314712277889613,0.7100812455850054,0.6948480046812942,0.6961517377750375,0.7295940637562798,0.7064545969460809,0.6151834495878988,0.6680851251753721,0.5939132431205434,0.702445585757759,0.6222865350887712
7,0.749723193991463,0.7269390169148608,0.795418447231575,0.8046354275748275,0.7509853798670113,0.7624504887839784,0.80059567916171,0.7596986603591962,0.7886872442373583,0.7252816746486288,0.8111241592107395,0.8630054914575466
8,0.7289861039703316,0.7807949694377594,0.8393095389355361,0.8438058277127052,0.804521125008008,0.8001386124130805,0.8111853547430694,0.8212515819420115,0.7652755211755157,0.8174184358983035,0.8381525183722738,0.7805654678694356
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.5683063631769595,0.5712034291842407,0.6206755146373061,0.6331753845044817,0.5592749009691694,0.6105235898031203,0.6320792932964866,0.6284545065683735,0.6357598421262793,0.6165136123492939,0.5943953986418069,0.6356645465889741
11,0.9720742882852468,0.9783632384022136,0.9849510858660178,0.9883601310519458,0.9897889981471636,0.9831234097287058,0.982739510957693,0.9581020579067168,0.9848576045576916,0.9731671725844127,0.9876336389603871,0.9730948778714426
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.7326840329750458,0.8804503666134383,0.8844783004205663,0.901593256294905,0.8402970276681824,0.8751764081924559,0.9182115256855272,0.9203504468027379,0.8952059613567759,0.8649966398736988,0.8726760562227891,0.7779458354877766
14,0.9706268901165327,0.9643879548914238,0.981268850403394,0.9778376124259832,0.9854756289976108,0.9709626685124491,0.9817769536369501,0.969034082290781,0.9917812927292184,0.9692459373889232,0.9749212545833037,0.9316390147027016
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.5260213817891743,0.9189261151570678,0.9023525905602886,0.8971878191595918,0.9043353813840389,0.9130461371391088,0.8938557413910934,0.8337815748356305,0.935623574073924,0.7850589882663446,0.8997511862373013,0.7125853803425848
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.8469813602334426,0.8892595916135632,0.8845164819275129,0.9228992783559017,0.8716630350263024,0.8865562309722893,0.9436454267614254,0.8589271677919719,0.9546403807380607,0.8547183197160203,0.9049946658998612,0.9694386913396638
20,0.9722859907808221,0.8107945576335751,0.9530428531299394,0.9550265618210501,0.9282969387904598,0.9174162018479155,0.9574019695830607,0.8485541611002143,0.9521901868996278,0.885812195001446,0.9399247587244964,0.959864356534806
