method,ROC-AUC,Precision,Recall,F1
TD2C_Ranking_4,0.8710726867665388,0.4938135838595724,0.6330979938271605,0.5239910422289298
TD2C_Ranking_1_2_Var,0.8682410774340443,0.5051407708077512,0.6169259810405644,0.509342635387966
TD2C_Ranking_1_1_Var,0.8647791310452559,0.4702948840491253,0.6237574404761904,0.5040757406357123
TD2C_Ranking_6,0.8614498127035136,0.4791988238634752,0.6199198082010582,0.4997399423763039
TD2C_Ranking_NoCont,0.8574159305632038,0.4780585036352789,0.6206751543209876,0.5051872967766217
TD2C_Ranking_PastFut,0.8413826508964738,0.4438284758927716,0.564901069223986,0.4564214310180355
