Process ID,D2C_R,TD2C_R,TD2C_Ranking_1_1_Var,TD2C_Ranking_1_2_Var,TD2C_Ranking_2,TD2C_Ranking_3,TD2C_Ranking_4,TD2C_Ranking_5,TD2C_Ranking_6,TD2C_Ranking_7,TD2C_Ranking_NoCont,TD2C_Ranking_PastFut
1,0.17965277777777777,0.5002232142857144,0.40133432539682545,0.41199900793650795,0.04155257936507937,0.07490079365079365,0.48365575396825394,0.042703373015873014,0.22717757936507935,0.0015625,0.2898611111111111,0.049647817460317455
2,0.18764880952380952,0.18325892857142856,0.4095238095238095,0.43990575396825393,0.31840277777777776,0.4425099206349207,0.2496279761904762,0.3089037698412699,0.2691468253968254,0.22911706349206348,0.38591269841269843,0.3201636904761905
3,0.17569444444444443,0.0,0.04637896825396825,0.12765376984126983,0.0790922619047619,0.019246031746031744,0.11733630952380951,0.6623759920634921,0.02745535714285714,0.5608134920634921,0.031076388888888883,0.12197420634920635
4,0.6149454365079365,0.5150793650793651,0.35625496031746035,0.1567311507936508,0.47376984126984123,0.14678571428571427,0.6280456349206349,0.37392857142857144,0.36681051587301583,0.022306547619047618,0.1815922619047619,0.35200892857142857
6,0.12467757936507935,0.22983630952380954,0.2773809523809524,0.29739583333333336,0.20163690476190474,0.24947916666666664,0.35233134920634923,0.1298859126984127,0.251984126984127,0.1306051587301587,0.31252480158730156,0.17291666666666666
7,0.46974206349206343,0.23779761904761906,0.3931547619047619,0.4846478174603175,0.32810019841269844,0.38263888888888886,0.4125248015873016,0.4425595238095238,0.4196428571428571,0.4492311507936508,0.4506200396825397,0.5438740079365079
8,0.4026041666666667,0.41391369047619053,0.5098214285714285,0.5827876984126984,0.509077380952381,0.5378472222222223,0.4449156746031746,0.49747023809523816,0.38405257936507936,0.3654265873015873,0.5177579365079366,0.39112103174603174
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.021448412698412696,0.11631944444444445,0.19681547619047618,0.1909126984126984,0.13492063492063494,0.18467261904761906,0.24329365079365078,0.2905952380952381,0.24622023809523808,0.17493055555555553,0.2080654761904762,0.19677579365079365
11,0.9388789682539682,0.9411507936507937,0.9682837301587301,0.982123015873016,0.9829166666666665,0.9593551587301586,0.9810515873015874,0.9423908730158731,0.9746329365079365,0.9538789682539683,0.9609920634920635,0.980704365079365
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.5797073412698412,0.48428571428571426,0.5979712301587302,0.650188492063492,0.48750992063492066,0.5295486111111111,0.7338541666666667,0.798030753968254,0.6599305555555556,0.5809126984126984,0.511984126984127,0.5845982142857143
14,0.9868055555555555,0.9081944444444444,0.9922222222222222,0.9972222222222221,0.9852777777777778,0.9723313492063491,0.9788988095238095,0.9771626984126984,0.9933333333333334,0.9597718253968253,0.9616170634920636,0.9453670634920635
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.04469246031746031,0.7570337301587301,0.7309920634920635,0.7331051587301587,0.7373412698412698,0.7476587301587301,0.7482142857142857,0.7101488095238095,0.8642361111111111,0.6637103174603174,0.7526190476190476,0.26283730158730156
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.36314484126984126,0.5390625,0.4407738095238095,0.5028273809523809,0.4050595238095238,0.4755952380952381,0.47834821428571433,0.3142609126984127,0.570138888888889,0.2598710317460317,0.42189980158730156,0.5573412698412699
20,0.9448710317460318,0.8896428571428572,0.9830357142857142,0.9936507936507937,0.9579960317460318,0.9648115079365078,0.9325992063492065,0.7974503968253968,0.9230555555555556,0.673531746031746,0.9857142857142858,0.9156845238095238
