,BalancedRandomForest,RandomForest,AdaBoost,XGBoost,LightGBM,Bagging,GradientBoosting,BalancedBagging,EasyEnsemble,RUSBoost,KNeighbors,LogisticRegression,DecisionTree,Pruning_DecisionTree,NaiveBayes
10,0.5462282446172921,0.5297083400334307,0.6044652564990344,0.5958232533152155,0.5969959273617622,0.551569463910168,0.5994835876920552,0.556274211083522,0.5994148903363499,0.6038613734181467,0.5640077699032305,0.6036495880444998,0.48317285517571573,0.6062179249261412,0.5999691869136565
11,0.886888255701918,0.8962679249884005,0.9262075150744968,0.9349609511496503,0.9329119261216829,0.8951193995394997,0.9286604460501471,0.9013081232453072,0.9080147261813538,0.9258326649291307,0.8125067347878747,0.9444498126358176,0.8428813942018195,0.8950357183975758,0.9323700262306716
12,0.9978072598366492,0.998771447976981,0.9618743949670977,0.9768678057319178,0.976027421472082,1.0,0.975143827742874,1.0,0.9602019480705678,0.9627577688080088,1.0,0.9348521383118401,0.9611413257400139,0.8937214558828337,0.8488801014982925
13,0.693380112073854,0.6709746439398036,0.9245570927408393,0.9268126790773412,0.9270290319486815,0.7755612282554967,0.9240935153422634,0.8091606144099257,0.9039342501942118,0.9245083844393202,0.5681749384723144,0.9371024419695193,0.8626417626252536,0.8579611791917703,0.9445670641598054
14,0.9421162621651259,0.9379498939627728,0.9563787777137274,0.967912146635269,0.96426283609254,0.9382263103399126,0.9600865027376102,0.9519800236852758,0.959269922623945,0.9555758196975033,0.8642234278094666,0.9667969382528504,0.9528632494490413,0.9397755610887361,0.9651588864785923
15,0.9998290727633947,0.9998931623931624,0.9612676969622005,0.98887647759794,0.9917970746664528,1.0,0.9799664962337673,1.0,0.9597164396682096,0.9629489304418527,1.0,0.9746893898601044,0.981980067362126,0.915245401254636,0.9669625908345754
16,0.8392676073260841,0.7845731816918061,0.933604302117865,0.9203791275635906,0.9234819976128541,0.811048080334438,0.9314240984454607,0.8496419980654085,0.9351987536885019,0.9339840622491437,0.6184376384128976,0.8398654794026491,0.8523945524361831,0.9039844484657167,0.9182220972355271
18,0.9998522252229879,0.9998931623931624,0.9612676969622005,0.9880928221635971,0.9917970746664528,1.0,0.978557761347771,1.0,0.9575427880803525,0.962917406218381,1.0,0.9746893898601044,0.981980067362126,0.915245401254636,0.9669625908345754
19,0.4235508276053085,0.5852453888205705,0.8545436369150267,0.7242930162231039,0.7088156114910177,0.6945970172184064,0.7540073515302669,0.6464184015663742,0.8464788253618842,0.8548412715837334,0.4420399496036139,0.7277944490868183,0.4720890925619893,0.7854271434822472,0.810044957947855
1,0.7018991085094153,0.7342585223949236,0.7156040258616343,0.693932253124449,0.7041699454012764,0.7387769989356505,0.6769584971793539,0.718334538688131,0.6443914601205358,0.7110995360820052,0.6290024173896108,0.7325892621554752,0.6881902202306891,0.7065752541904824,0.8145873109551944
20,0.5608115496770292,0.5890421471771538,0.6339457088352889,0.637183729040667,0.6352127687986595,0.5303725384568908,0.6507723345046378,0.5711950316845831,0.625291173396599,0.6199483325996432,0.4195171555234557,0.9360349048164993,0.6220416527572661,0.8668815275645205,0.8692240262878415
2,0.526402311168068,0.5117616559545304,0.5826844825079537,0.5776235708967906,0.5871864208852561,0.5412059361008157,0.5807396813252262,0.5157062496880522,0.5622205046418879,0.5838329557893056,0.5133568096222673,0.5734109104743498,0.4305787636151589,0.5646670156364275,0.5986499783189168
3,0.2612669526334234,0.2927229873439058,0.5231823844547329,0.47281735959213905,0.47502070885390835,0.4344374929592142,0.47375675376466714,0.3985187376526992,0.40825809682263436,0.5054845231486256,0.3357673055597296,0.857108830526306,0.21483069186718068,0.5600961223129332,0.8642420573740779
4,0.5854051186837242,0.7579899354103796,0.9601433089458531,0.9349574648003692,0.9147318415283451,0.8822709682838024,0.9391632191985233,0.6659895144812928,0.9589345169559135,0.9598770378649352,0.6254952906312387,0.9578083367943485,0.3502070068110301,0.8705082905970378,0.9686229385592258
6,0.6651588306734342,0.6410434324622645,0.6982615140695322,0.6992420767680197,0.7012314971413292,0.6497835840925111,0.6924352349169719,0.6651796065264133,0.6947419764258482,0.6978875631679438,0.5630357714261509,0.6850486976506659,0.5995880274734695,0.6850476676890711,0.6811024083488464
7,0.5692688163023967,0.5696011460555702,0.6448150436517561,0.6679700590555998,0.6734425505805234,0.5990838921644258,0.6672546066174594,0.6088103312520723,0.6499871938652384,0.6496043033077644,0.4793757718620917,0.5933663162597068,0.622901779069131,0.6461487201598453,0.6303547631800058
8,0.6007175164050723,0.6416542276867218,0.8546209534966753,0.804006263907007,0.8116924459774104,0.7535302341056035,0.8140054981260161,0.7265165748362785,0.8360568633079417,0.850874525800658,0.5519413447348996,0.837844786211922,0.6113060431254358,0.8577391414979985,0.8939432840353382
9,0.997804795488873,0.9986961533731182,0.9618743949670977,0.9768424875459709,0.976027421472082,1.0,0.9728179276481214,1.0,0.9607955279706264,0.9641870418980026,1.0,0.9348349752876679,0.9611413257400139,0.8937214558828337,0.8488801014982925
