,BalancedRandomForest,RandomForest,AdaBoost,XGBoost,LightGBM,Bagging,GradientBoosting,BalancedBagging,EasyEnsemble,RUSBoost,KNeighbors,LogisticRegression,DecisionTree,Pruning_DecisionTree,NaiveBayes
10,0.550382986597201,0.5297083400334307,0.6035160083666903,0.5966837529404982,0.5969959273617622,0.551569463910168,0.5994835876920552,0.556274211083522,0.5994148903363499,0.6038613734181467,0.5656426171362849,0.6036495880444998,0.5103961121799829,0.6062179249261412,0.5999691869136565
11,0.8596169926405622,0.8962679249884005,0.9252425971599412,0.932943568144448,0.9329119261216829,0.8951193995394997,0.9286604460501471,0.9013081232453072,0.9080147261813538,0.9258326649291307,0.7744462546120948,0.9444498126358176,0.765828576472426,0.8950357183975758,0.9323700262306716
12,1.0,0.998771447976981,0.9614303228071049,0.9718098496024691,0.976027421472082,1.0,0.975143827742874,1.0,0.9602019480705678,0.9627577688080088,1.0,0.9348521383118401,0.9925011002640035,0.8937214558828337,0.8488801014982925
13,0.6698816152284224,0.6709746439398036,0.9247912407754768,0.9295429616979224,0.9270290319486815,0.7755612282554967,0.9240935153422634,0.8091606144099257,0.9039342501942118,0.9245083844393202,0.5491543452873653,0.9371024419695193,0.5950127778314657,0.8579611791917703,0.9445670641598054
14,0.9193817220645683,0.9379498939627728,0.9560508967823982,0.96511099548005,0.96426283609254,0.9382263103399126,0.9600865027376102,0.9519800236852758,0.959269922623945,0.9555758196975033,0.8281398403454817,0.9667969382528504,0.8589718939450591,0.9397755610887361,0.9651588864785923
15,1.0,0.9998931623931624,0.9568989336468849,0.9843276583660903,0.9917970746664528,1.0,0.9799664962337673,1.0,0.9597164396682096,0.9629489304418527,1.0,0.9746893898601044,0.997926052536932,0.915245401254636,0.9669625908345754
16,0.7989825746722942,0.7845731816918061,0.9339722625599176,0.9230035396155373,0.9234819976128541,0.811048080334438,0.9314240984454607,0.8496419980654085,0.9351987536885019,0.9339840622491437,0.5692853053178755,0.8398654794026491,0.5874909101839889,0.9039844484657167,0.9182220972355271
18,1.0,0.9998931623931624,0.9568989336468849,0.986117613254114,0.9917970746664528,1.0,0.978557761347771,1.0,0.9575427880803525,0.962917406218381,1.0,0.9746893898601044,0.997926052536932,0.915245401254636,0.9669625908345754
19,0.4790304188530904,0.5852453888205705,0.843114243661703,0.7412320596493103,0.7088156114910177,0.6945970172184064,0.7540073515302669,0.6464184015663742,0.8464788253618842,0.8548412715837334,0.4417162145207588,0.7277944490868183,0.4528966801443596,0.7854271434822472,0.810044957947855
1,0.6933320541309593,0.7342441875325383,0.7246666437076766,0.6618788134954214,0.7041699454012764,0.7387769989356505,0.6769584971793539,0.718334538688131,0.6443914601205358,0.7110995360820052,0.6391612027001512,0.7325892621554752,0.7402746920382127,0.7065752541904824,0.8145873109551944
20,0.5002059934483727,0.5890421471771538,0.6375566853697721,0.6455532793673182,0.6352127687986595,0.5303725384568908,0.6507723345046378,0.5711950316845831,0.625291173396599,0.6199483325996432,0.4194399361717821,0.9360349048164993,0.4733240996100414,0.8668815275645205,0.8692240262878415
2,0.5156385169446089,0.5117616559545304,0.5651401230465275,0.5841925330979968,0.5871864208852561,0.5412059361008157,0.5807396813252262,0.5157062496880522,0.5622205046418879,0.5838329557893056,0.5106694908661915,0.5734109104743498,0.4233271398073096,0.5646670156364275,0.5986499783189168
3,0.3006589447826601,0.2927229873439058,0.4780674552562136,0.48753194638945685,0.47502070885390835,0.4344374929592142,0.47375675376466714,0.3985187376526992,0.40825809682263436,0.5054845231486256,0.33918970838653084,0.857108830526306,0.4066185990016084,0.5600961223129332,0.8642420573740779
4,0.5893085653455651,0.7579899354103796,0.9553211609572081,0.93066129531106,0.9147318415283451,0.8822709682838024,0.9391632191985233,0.6659895144812928,0.9589345169559135,0.9598770378649352,0.6178835451660765,0.9578083367943485,0.40695793556589077,0.8705082905970378,0.9686229385592258
6,0.637883225280465,0.6410434324622645,0.6984455590655705,0.6989409898521352,0.7012314971413292,0.6497835840925111,0.6924352349169719,0.6651796065264133,0.6947419764258482,0.6978875631679438,0.553812657459446,0.6850486976506659,0.5549108540871515,0.6850476676890711,0.6811024083488464
7,0.5454202650940237,0.5696011460555702,0.6449605150915678,0.6724314683360025,0.6734425505805234,0.5990838921644258,0.6672546066174594,0.6088103312520723,0.6499871938652384,0.6496043033077644,0.4739259853888947,0.5933663162597068,0.4914125759164847,0.6461487201598453,0.6303547631800058
8,0.6135750524028257,0.6416542276867218,0.8497514380963945,0.8173182646383241,0.8116924459774104,0.7535302341056035,0.8140054981260161,0.7265165748362785,0.8360568633079417,0.850874525800658,0.5482534798968439,0.837844786211922,0.5326370845856033,0.8577391414979985,0.8939432840353382
9,1.0,0.9986961533731182,0.9614303228071049,0.971356098622971,0.976027421472082,1.0,0.9728179276481214,1.0,0.9607955279706264,0.9641870418980026,1.0,0.9348349752876679,0.9925011002640035,0.8937214558828337,0.8488801014982925
