,BalancedRandomForest,RandomForest,AdaBoost,XGBoost,LightGBM,Bagging,GradientBoosting,BalancedBagging,EasyEnsemble,RUSBoost,KNeighbors,LogisticRegression,DecisionTree,Pruning_DecisionTree,NaiveBayes
10,0.5453961418048457,0.5379256446234371,0.604312114333698,0.6004202764726727,0.5909207229690185,0.551569463910168,0.6011536576653723,0.556274211083522,0.5994148903363499,0.6038613734181467,0.5663075562004805,0.6036495880444998,0.5111807743593545,0.6062179249261412,0.5999691869136565
11,0.8600060792658771,0.8675074663150312,0.9226163790782135,0.9275877045287373,0.9325463894254853,0.8951193995394997,0.9279608745182498,0.9013081232453072,0.9080147261813538,0.9258326649291307,0.7607068108053762,0.9444498126358176,0.6875887593620243,0.8950357183975758,0.9323700262306716
12,1.0,0.9999870197300105,0.9619990570629243,0.9670607120431379,0.9790951388033562,1.0,0.9687922647178231,1.0,0.9602019480705678,0.9627577688080088,1.0,0.9348521383118401,1.0,0.8937214558828337,0.8488801014982925
13,0.6728773994441979,0.6632359202416174,0.9244862466817171,0.9248027362713616,0.9234857575810269,0.7755612282554967,0.9196154510706289,0.8091606144099257,0.9039342501942118,0.9245083844393202,0.5300374182862804,0.9371024419695193,0.5600195676029247,0.8579611791917703,0.9445670641598054
14,0.9159397323950362,0.9159855472165404,0.955987568897697,0.9564260473091292,0.9657877906694463,0.9382263103399126,0.9603050903872955,0.9519800236852758,0.959269922623945,0.9555758196975033,0.8184461329314745,0.9667969382528504,0.8076748893516978,0.9397755610887361,0.9651588864785923
15,1.0,1.0,0.9606905469309879,0.9651631093335205,0.994110659926967,1.0,0.9607774559661852,1.0,0.9597164396682096,0.9629489304418527,1.0,0.9746893898601044,1.0,0.915245401254636,0.9669625908345754
16,0.7989386183547995,0.7643034407378334,0.9336260094399196,0.9254910051409888,0.9212026443401105,0.811048080334438,0.9295478666703803,0.8496419980654085,0.9351987536885019,0.9339840622491437,0.5636274278532674,0.8398654794026491,0.5368439830680126,0.9039844484657167,0.9182220972355271
18,1.0,1.0,0.9606905469309879,0.9616596827217968,0.994110659926967,1.0,0.9649585754245246,1.0,0.9575427880803525,0.962917406218381,1.0,0.9746893898601044,1.0,0.915245401254636,0.9669625908345754
19,0.481614062783534,0.5709025288940197,0.8539047508348514,0.8128318817245272,0.6629120615992313,0.6945970172184064,0.7882366238894587,0.6464184015663742,0.8464788253618842,0.8548412715837334,0.4338380839974244,0.7277944490868183,0.426333907970568,0.7854271434822472,0.810044957947855
1,0.6968702307477077,0.7024397183949591,0.7153092140340132,0.5968777159544254,0.6729875683638803,0.7387769989356505,0.5517629385522721,0.718334538688131,0.6443914601205358,0.7110995360820052,0.5395476353736041,0.7325892621554752,0.7160093501120036,0.7065752541904824,0.8145873109551944
20,0.4918439563131371,0.4867759578534251,0.6352619165209822,0.6853316165190945,0.6435666583014291,0.5303725384568908,0.6483240430801878,0.5711950316845831,0.625291173396599,0.6199483325996432,0.41756816099658733,0.9360349048164993,0.4382938054634984,0.8668815275645205,0.8692240262878415
2,0.5179938287094069,0.49589324131938517,0.5803644472504302,0.5728996178130796,0.5455070045382956,0.5412059361008157,0.5537683114464069,0.5157062496880522,0.5622205046418879,0.5838329557893056,0.5096659574987399,0.5734109104743498,0.4228169130644151,0.5646670156364275,0.5986499783189168
3,0.2955851981748774,0.34568561329558567,0.5328196545873962,0.5051601374108183,0.4829413142890827,0.4344374929592142,0.5076816090985488,0.3985187376526992,0.40825809682263436,0.5054845231486256,0.34579414338906267,0.857108830526306,0.4029555050956202,0.5600961223129332,0.8642420573740779
4,0.600687982793563,0.7639770684469873,0.9592572977850281,0.9423054374614246,0.9089250324530809,0.8822709682838024,0.9083908301948899,0.6659895144812928,0.9589345169559135,0.9598770378649352,0.5309317469149046,0.9578083367943485,0.40609266628582896,0.8705082905970378,0.9686229385592258
6,0.6334330851951048,0.6068089898612429,0.6983349564637381,0.6944086325953759,0.6969537952564852,0.6497835840925111,0.69450650641717,0.6651796065264133,0.6947419764258482,0.6978875631679438,0.5379816388959592,0.6850486976506659,0.5198212143715409,0.6850476676890711,0.6811024083488464
7,0.5410237762940994,0.5248301738154432,0.6455194006018283,0.6663206078164765,0.66749018091278,0.5990838921644258,0.6543015929567131,0.6088103312520723,0.6499871938652384,0.6496043033077644,0.46195676756762377,0.5933663162597068,0.4559629791916183,0.6461487201598453,0.6303547631800058
8,0.6163770024427337,0.6647017918543716,0.8531690931605084,0.830860506526258,0.7983021182562935,0.7535302341056035,0.8403536640820896,0.7265165748362785,0.8360568633079417,0.850874525800658,0.5430124445216699,0.837844786211922,0.5066512627803542,0.8577391414979985,0.8939432840353382
9,1.0,1.0,0.9619990570629243,0.9680285688316065,0.9790951388033562,1.0,0.966377412546046,1.0,0.9607955279706264,0.9641870418980026,1.0,0.9348349752876679,1.0,0.8937214558828337,0.8488801014982925
