roc_score,iteration
0.8404,0
0.8254,1
0.826,2
0.8416,3
0.8198,4
0.8291,5
0.858,6
0.82,7
0.8271,8
0.8288,9
0.8388,10
0.8265,11
0.8138,12
0.852,13
0.8414,14
0.8269,15
0.8623,16
