roc_score,iteration
0.8404396975462143,1
0.8471240369397752,2
0.8170111181133093,3
0.8393359396317589,4
0.8397065390659999,5
0.830646976073123,6
0.837504112814766,7
0.8312628984880147,8
0.8428193125624065,9
0.8221658072793414,10
